date,seed,dataset,protect_size,reg_epochs,ptb_epochs,ptb_rate,ptb_sample_num,ptb_sample_size,ratio_g0,ratio_gX,ratio_g0gX,base_g0,base_gX,d_g0,d_gX,edges,add_g0,add_gX,add_g0gX,remove_g0,remove_gX,remove_g0gX
2022-04-05-14:17:11,100,cora,0.1,100,30,0.1,20,500,1,1,1,0.7164179086685181,0.7557377219200134,-0.21641790866851807,-0.0028688907623291016,1071.0,54 (7.41% similar),81 (0.00% similar),425 (0.94% similar),0,0,0
2022-04-05-14:17:23,100,cora,0.1,100,30,0.25,20,500,1,1,1,0.7164179086685181,0.7557377219200134,-0.4962686598300934,-0.040983617305755615,2607.0,21 (14.29% similar),432 (38.19% similar),751 (1.60% similar),0,1 (100.00% similar),0
2022-04-05-14:17:35,100,cora,0.1,100,30,0.5,20,500,1,1,1,0.7164179086685181,0.7557377219200134,-0.5037313401699066,-0.04590165615081787,5217.0,157 (19.11% similar),1190 (43.61% similar),1405 (3.27% similar),1 (100.00% similar),2 (100.00% similar),0
2022-04-05-14:17:47,101,cora,0.1,100,30,0.1,20,500,1,1,1,0.7823129296302795,0.7444076538085938,-0.36734694242477417,0.0012427568435668945,1093.0,28 (0.00% similar),73 (68.49% similar),428 (2.34% similar),0,0,0
2022-04-05-14:17:58,101,cora,0.1,100,30,0.25,20,500,1,1,1,0.7823129296302795,0.7444076538085938,-0.5272108912467957,-0.03148305416107178,2633.0,15 (0.00% similar),265 (38.11% similar),981 (0.61% similar),0,0,1 (100.00% similar)
2022-04-05-14:18:11,101,cora,0.1,100,30,0.5,20,500,1,1,1,0.7823129296302795,0.7444076538085938,-0.5442176908254623,-0.06255179643630981,5258.0,90 (7.78% similar),1131 (45.09% similar),1761 (2.27% similar),0,4 (100.00% similar),0
2022-04-05-14:18:23,102,cora,0.1,100,30,0.1,20,500,1,1,1,0.7340824007987976,0.7763211727142334,-0.2921348214149475,0.006145000457763672,1049.0,18 (16.67% similar),237 (7.17% similar),354 (0.28% similar),1 (100.00% similar),0,0
2022-04-05-14:18:35,102,cora,0.1,100,30,0.25,20,500,1,1,1,0.7340824007987976,0.7763211727142334,-0.5205992460250854,-0.022941410541534424,2688.0,17 (35.29% similar),418 (20.81% similar),775 (1.16% similar),0,0,0
2022-04-05-14:18:47,102,cora,0.1,100,30,0.5,20,500,1,1,1,0.7340824007987976,0.7763211727142334,-0.516853928565979,-0.024580061435699463,5224.0,60 (25.00% similar),1056 (55.97% similar),1623 (2.34% similar),0,2 (100.00% similar),1 (100.00% similar)
2022-04-05-14:18:58,103,cora,0.1,100,30,0.1,20,500,1,1,1,0.7676056027412415,0.7685644030570984,-0.4154929220676422,0.014438927173614502,1060.0,70 (0.00% similar),127 (17.32% similar),353 (1.42% similar),0,0,0
2022-04-05-14:19:10,103,cora,0.1,100,30,0.25,20,500,1,1,1,0.7676056027412415,0.7685644030570984,-0.5457746237516403,-0.023514866828918457,2658.0,82 (2.44% similar),372 (43.82% similar),895 (2.46% similar),0,1 (100.00% similar),0
2022-04-05-14:19:23,103,cora,0.1,100,30,0.5,20,500,1,1,1,0.7676056027412415,0.7685644030570984,-0.580985888838768,-0.021039605140686035,5406.0,91 (1.10% similar),1437 (36.12% similar),1408 (2.77% similar),0,6 (100.00% similar),0
2022-04-05-14:19:35,104,cora,0.1,100,30,0.1,20,500,1,1,1,0.7727272510528564,0.7592898607254028,-0.34265732765197754,0.00495457649230957,998.0,58 (1.72% similar),157 (12.74% similar),315 (0.95% similar),0,1 (100.00% similar),0
2022-04-05-14:19:46,104,cora,0.1,100,30,0.25,20,500,1,1,1,0.7727272510528564,0.7592898607254028,-0.47902095317840576,-0.002477288246154785,2673.0,126 (6.35% similar),338 (47.04% similar),856 (3.04% similar),0,0,0
2022-04-05-14:19:58,104,cora,0.1,100,30,0.5,20,500,1,1,1,0.7727272510528564,0.7592898607254028,-0.5209789872169495,-0.00990915298461914,5371.0,109 (3.67% similar),877 (21.78% similar),1850 (5.62% similar),0,0,1 (100.00% similar)
2022-04-05-14:20:11,100,citeseer,0.1,100,30,0.1,20,500,1,1,1,0.6761006116867065,0.6312625408172607,-0.14150941371917725,-0.0270540714263916,923.0,25 (12.00% similar),137 (5.11% similar),270 (2.96% similar),0,0,0
2022-04-05-14:20:26,100,citeseer,0.1,100,30,0.25,20,500,1,1,1,0.6761006116867065,0.6312625408172607,-0.12893080711364746,-0.010354042053222656,2273.0,44 (4.55% similar),340 (25.00% similar),603 (14.76% similar),0,0,0
2022-04-05-14:20:39,100,citeseer,0.1,100,30,0.5,20,500,1,1,1,0.6761006116867065,0.6312625408172607,-0.18553459644317627,0.0016700029373168945,4534.0,96 (3.12% similar),653 (14.55% similar),901 (4.11% similar),0,0,0
2022-04-05-14:20:52,101,citeseer,0.1,100,30,0.1,20,500,1,1,1,0.6685082912445068,0.6349152326583862,-0.11049723625183105,-0.0494915246963501,857.0,23 (8.70% similar),141 (9.93% similar),179 (5.59% similar),0,0,0
2022-04-05-14:21:06,101,citeseer,0.1,100,30,0.25,20,500,1,1,1,0.6685082912445068,0.6349152326583862,-0.09944748878479004,-0.03796607255935669,2255.0,56 (5.36% similar),306 (5.88% similar),394 (4.82% similar),0,0,0
2022-04-05-14:21:19,101,citeseer,0.1,100,30,0.5,20,500,1,1,1,0.6685082912445068,0.6349152326583862,-0.16022098064422607,-0.1159321665763855,4573.0,5 (0.00% similar),989 (3.94% similar),149 (5.37% similar),0,0,0
2022-04-05-14:21:33,102,citeseer,0.1,100,30,0.1,20,500,1,1,1,0.6322188377380371,0.6583976149559021,-0.03951364755630493,-0.02883005142211914,830.0,35 (0.00% similar),143 (23.78% similar),336 (4.76% similar),0,0,0
2022-04-05-14:21:47,102,citeseer,0.1,100,30,0.25,20,500,1,1,1,0.6322188377380371,0.6583976149559021,-0.12765955924987793,-0.08716058731079102,2273.0,1 (0.00% similar),652 (11.96% similar),93 (3.23% similar),0,0,0
2022-04-05-14:22:00,102,citeseer,0.1,100,30,0.5,20,500,1,1,1,0.6322188377380371,0.6583976149559021,-0.13373857736587524,-0.05296683311462402,4532.0,14 (0.00% similar),1610 (14.35% similar),270 (10.37% similar),0,0,0
2022-04-05-14:22:13,103,citeseer,0.1,100,30,0.1,20,500,1,1,1,0.5969696640968323,0.6381622552871704,-0.0878787636756897,-0.02179741859436035,929.0,15 (6.67% similar),11 (18.18% similar),81 (7.41% similar),0,0,0
2022-04-05-14:22:27,103,citeseer,0.1,100,30,0.25,20,500,1,1,1,0.5969696640968323,0.6381622552871704,0.02121216058731079,-0.011737048625946045,2272.0,4 (0.00% similar),67 (13.43% similar),50 (6.00% similar),0,0,0
